"date","swe","Q"
2002-02-28,4,19.7
2002-03-28,5.8,34.2
2002-04-28,7.4,64.8
2002-05-28,11.4,143
2002-06-28,14.4,209
2002-07-28,13,166
2002-08-28,3.6,20.2
2002-09-28,0,26.4
2002-10-28,0,18.1
2002-11-28,0,90.1
2002-03-29,5.8,32.1
2002-04-29,7.4,52.4
2002-05-29,NA,224
2002-06-29,14.4,180
2002-07-29,13.1,187
2002-08-29,2.5,24.6
2002-09-29,0,25.5
2002-10-29,0,20.1
2002-11-29,0,36
2002-03-30,5.8,32.8
2002-04-30,7.4,42.6
2002-05-30,NA,323
2002-06-30,14.3,169
2002-07-30,13,177
2002-08-30,1.6,32.8
2002-09-30,0,30.3
2002-10-30,0,13.9
2002-11-30,0,34.1
2002-03-31,5.8,33
2002-05-31,NA,560
2002-07-31,NA,170
2002-08-31,1,32.7
2002-10-31,0,8.94
2003-04-01,8.5,51.3
2003-05-01,10.5,308
2003-06-01,16.2,2970
2003-07-01,24.4,1150
2003-08-01,30.1,409
2003-09-01,18.8,154
2003-10-01,0,56
2003-11-01,0,50.5
2003-12-01,0,86.9
2003-04-02,8.8,76.3
2003-05-02,10.5,258
2003-06-02,16.2,2630
2003-07-02,24.3,1110
2003-08-02,30.2,393
2003-09-02,17.3,120
2003-10-02,0,52.7
2003-11-02,0,59.8
2003-12-02,0,58.5
2003-04-03,9,74.8
2003-05-03,10.7,196
2003-06-03,16.2,2360
2003-07-03,24.3,1090
2003-08-03,30.3,430
2003-09-03,17,111
2003-10-03,0,118
2003-11-03,0,63
2003-12-03,0,52.8
2003-04-04,9,87.2
2003-05-04,10.7,150
2003-06-04,16.3,2120
2003-07-04,24.8,1020
2003-08-04,30.4,456
2003-09-04,16.8,123
2003-10-04,0,131
2003-11-04,0,58.6
2003-12-04,0,54.7
2003-04-05,9,61.2
2003-05-05,10.7,130
2003-06-05,16.9,1880
2003-07-05,24.9,921
2003-08-05,30.5,362
2003-09-05,16.2,103
2003-10-05,0,119
2003-11-05,0,49
2003-12-05,0,66.8
2003-04-06,9,45.6
2003-05-06,10.7,94
2003-06-06,16.9,1660
2003-07-06,25.3,885
2003-08-06,30.6,333
2003-09-06,15.7,93.6
2003-10-06,0,115
2003-11-06,0,35.7
2003-12-06,0,64.2
2003-04-07,9,37.7
2003-05-07,10.7,72.9
2003-06-07,17.1,1560
2003-07-07,25.7,801
2003-08-07,30.6,309
2003-09-07,15.8,109
2003-10-07,0,105
2003-11-07,0,42.9
2003-12-07,0,54.1
2003-04-08,9,35.7
2003-05-08,10.8,61.7
2003-06-08,17.1,1410
2003-07-08,25.8,696
2003-08-08,30.7,262
2003-09-08,15.8,165
2003-10-08,0,96.8
2003-11-08,0,45.9
2003-12-08,0,54.3
2003-04-09,9,35.2
2003-05-09,11.1,64.6
2003-06-09,17.1,1350
2003-07-09,26.1,669
2003-08-09,31.1,266
2003-09-09,14.8,156
2003-10-09,0,94.7
2003-11-09,0,49.4
2003-12-09,0,71.2
2003-04-10,9,38.4
2003-05-10,11.1,150
2003-06-10,17.1,1500
2003-07-10,26.1,682
2003-08-10,32.5,295
2003-09-10,13.8,141
2003-10-10,0,93.5
2003-11-10,0,46.9
2003-12-10,0,97
2003-03-11,6,31.6
2003-04-11,9.2,64.6
2003-05-11,11.5,127
2003-06-11,17.1,1920
2003-07-11,25.9,671
2003-08-11,33.3,278
2003-09-11,12.7,132
2003-10-11,0,88.5
2003-11-11,0,47
2003-12-11,0,97.7
2003-03-12,6.2,31.4
2003-04-12,9.3,87.6
2003-05-12,11.7,186
2003-06-12,17.1,1720
2003-07-12,25.5,643
2003-08-12,33.4,306
2003-09-12,11.9,129
2003-10-12,0,45.3
2003-11-12,0,41.3
2003-12-12,0,95.6
2003-03-13,6.6,30.9
2003-04-13,9.3,88.2
2003-05-13,11.8,269
2003-06-13,17.2,1370
2003-07-13,25.2,626
2003-08-13,33.3,323
2003-09-13,11.1,138
2003-10-13,0,42.2
2003-11-13,0,39.2
2003-12-13,0,95.8
2003-03-14,6.6,33.2
2003-04-14,9.3,144
2003-05-14,12.2,283
2003-06-14,17.2,1420
2003-07-14,24.9,599
2003-08-14,33.2,294
2003-09-14,10.3,161
2003-10-14,0,48.7
2003-11-14,0,47.6
2003-12-14,0,99
2003-03-15,6.7,36.8
2003-04-15,9.3,296
2003-05-15,12.5,242
2003-06-15,17.1,1470
2003-07-15,24.3,526
2003-08-15,33,222
2003-09-15,8.5,153
2003-10-15,0,63
2003-11-15,0,44.9
2003-12-15,0,105
2003-03-16,6.6,35.6
2003-04-16,9.4,371
2003-05-16,12.7,308
2003-06-16,17.1,1510
2003-07-16,26.1,486
2003-08-16,32.8,202
2003-09-16,6.9,142
2003-10-16,0,60.7
2003-11-16,0,41.2
2003-12-16,0,97.7
2003-03-17,6.7,39.3
2003-04-17,9.6,347
2003-05-17,13,401
2003-06-17,17.3,1550
2003-07-17,26.3,522
2003-08-17,32.8,238
2003-09-17,6.6,131
2003-10-17,0,60
2003-11-17,0,48.8
2003-03-18,7.2,47.1
2003-04-18,9.7,321
2003-05-18,13,549
2003-06-18,18.5,1650
2003-07-18,26.5,589
2003-08-18,31.9,288
2003-09-18,5.3,126
2003-10-18,0,60.4
2003-11-18,0,40.9
2003-03-19,7.3,27.2
2003-04-19,9.8,290
2003-05-19,13,619
2003-06-19,20.9,1730
2003-07-19,27,642
2003-08-19,31.1,263
2003-09-19,4,115
2003-10-19,0,59.9
2003-11-19,0,29.5
2003-03-20,7.3,3.38
2003-04-20,9.9,265
2003-05-20,13,517
2003-06-20,21.8,1660
2003-07-20,27.2,669
2003-08-20,30.7,237
2003-09-20,3.1,101
2003-10-20,0,59.2
2003-11-20,0,55.1
2003-03-21,7.5,44.6
2003-04-21,9.9,245
2003-05-21,13,501
2003-06-21,22,1600
2003-07-21,27.2,596
2003-08-21,29.5,222
2003-09-21,2.2,92.4
2003-10-21,0,58.4
2003-11-21,0,47.8
2003-03-22,7.5,59.1
2003-04-22,9.9,246
2003-05-22,13.6,522
2003-06-22,22,1560
2003-07-22,27.2,623
2003-08-22,28.1,163
2003-09-22,0.8,84.3
2003-10-22,0,57.1
2003-11-22,0,52.8
2003-03-23,7.5,55.3
2003-04-23,9.8,286
2003-05-23,14.2,664
2003-06-23,22.2,1560
2003-07-23,27.5,595
2003-08-23,27.3,132
2003-09-23,0.1,87.9
2003-10-23,0,50.5
2003-11-23,0,73.8
2003-03-24,7.5,55.5
2003-04-24,10.3,351
2003-05-24,14.6,949
2003-06-24,22.3,1650
2003-07-24,29.4,576
2003-08-24,26.3,131
2003-09-24,0,87.5
2003-10-24,0,36.2
2003-11-24,0,32.5
2003-03-25,7.5,46.4
2003-04-25,10.3,382
2003-05-25,15.2,1080
2003-06-25,22.8,1650
2003-07-25,30.4,508
2003-08-25,25.8,133
2003-09-25,0,85.9
2003-10-25,0,34.2
2003-11-25,0,47.7
2003-03-26,7.6,49
2003-04-26,10.3,420
2003-05-26,15.7,1350
2003-06-26,22.9,1520
2003-07-26,30.3,540
2003-08-26,25.5,126
2003-09-26,0,82.3
2003-10-26,0,36.7
2003-11-26,0,57
2003-03-27,7.8,64.1
2003-04-27,10.3,444
2003-05-27,15.8,1290
2003-06-27,23.6,1390
2003-07-27,30.2,630
2003-08-27,25.1,120
2003-09-27,0,58.9
2003-10-27,0,31.1
2003-11-27,0,86.7
2003-03-28,7.9,46.6
2003-04-28,10.3,530
2003-05-28,16.2,1750
2003-06-28,23.7,1130
2003-07-28,30.2,581
2003-08-28,24,118
2003-09-28,0,51.9
2003-10-28,0,28.7
2003-11-28,0,91.2
2003-03-29,7.9,36.2
2003-04-29,10.5,547
2003-05-29,NA,2000
2003-06-29,23.7,1140
2003-07-29,30,531
2003-08-29,22.2,106
2003-09-29,0,51.8
2003-10-29,0,32.4
2003-11-29,0,106
2003-03-30,7.9,35.1
2003-04-30,10.5,504
2003-05-30,NA,2680
2003-06-30,24.1,1190
2003-07-30,30,530
2003-08-30,21.1,140
2003-09-30,0,50.8
2003-10-30,0,38.8
2003-11-30,0,120
2003-03-31,7.9,50.8
2003-05-31,NA,2710
2003-07-31,NA,495
2003-08-31,20.2,154
2003-10-31,0,53.4
2004-03-01,3.6,30.8
2004-04-01,7.4,56.2
2004-05-01,8.6,100
2004-06-01,12.2,325
2004-07-01,13.8,1190
2004-08-01,16.8,437
2004-09-01,4,188
2004-10-01,0,166
2004-11-01,0,99.9
2004-12-01,0,0
2004-03-02,3.6,23.6
2004-04-02,7.4,49.3
2004-05-02,8.7,86.5
2004-06-02,12.4,302
2004-07-02,13.7,916
2004-08-02,16.9,447
2004-09-02,3.5,177
2004-10-02,0,172
2004-11-02,0,75.8
2004-12-02,0,0
2004-03-03,3.6,23.1
2004-04-03,7.7,41.8
2004-05-03,8.9,80.4
2004-06-03,12.6,373
2004-07-03,13.9,778
2004-08-03,16.8,437
2004-09-03,2.5,121
2004-10-03,0,162
2004-11-03,0,75.1
2004-12-03,0,0
2004-03-04,3.7,26.7
2004-04-04,8,39.6
2004-05-04,9,115
2004-06-04,12.6,565
2004-07-04,13.9,790
2004-08-04,16.6,373
2004-09-04,1.5,105
2004-10-04,0,160
2004-11-04,0,103
2004-12-04,0,0
2004-03-05,3.8,28.5
2004-04-05,7.9,35.3
2004-05-05,9.2,206
2004-06-05,12.9,706
2004-07-05,13.8,845
2004-08-05,16,339
2004-09-05,0.8,131
2004-10-05,0,119
2004-11-05,0,99.3
2004-12-05,0,0
2004-03-06,4.5,24.8
2004-04-06,7.8,53.3
2004-05-06,9.3,621
2004-06-06,12.9,830
2004-07-06,14.6,765
2004-08-06,15.1,339
2004-09-06,0.2,137
2004-10-06,0,80.1
2004-11-06,0,92.1
2004-12-06,0,0
2004-03-07,4.5,23.8
2004-04-07,8.2,52.4
2004-05-07,9.3,750
2004-06-07,12.9,1000
2004-07-07,14.6,656
2004-08-07,14.1,311
2004-09-07,0,116
2004-10-07,0,89.9
2004-11-07,0,88.1
2004-12-07,0,0
2004-03-08,4.8,29.8
2004-04-08,8.2,51.8
2004-05-08,9.3,796
2004-06-08,13,1130
2004-07-08,14.7,647
2004-08-08,13.2,297
2004-09-08,0,106
2004-10-08,0,86.9
2004-11-08,0,86.5
2004-12-08,0,0
2004-03-09,4.9,40.8
2004-04-09,8.2,61.1
2004-05-09,9.3,748
2004-06-09,12.9,1100
2004-07-09,15.1,699
2004-08-09,12.6,333
2004-09-09,0,108
2004-10-09,0,79.4
2004-11-09,0,88
2004-12-09,0,0
2004-03-10,4.9,38.4
2004-04-10,8.1,74.3
2004-05-10,9.3,786
2004-06-10,13.1,1230
2004-07-10,15.9,681
2004-08-10,11.9,329
2004-09-10,0,102
2004-10-10,0,68
2004-11-10,0,92.2
2004-12-10,0,0
2004-03-11,5,28.3
2004-04-11,8.2,48.4
2004-05-11,9.4,804
2004-06-11,12.9,1050
2004-07-11,16,623
2004-08-11,11.2,317
2004-09-11,0,103
2004-10-11,0,60
2004-11-11,0,91.7
2004-12-11,0,0
2004-03-12,5,30.6
2004-04-12,8.1,49.8
2004-05-12,9.4,728
2004-06-12,12.9,848
2004-07-12,16.4,567
2004-08-12,10.7,271
2004-09-12,0,106
2004-10-12,0,54.9
2004-11-12,0,91.5
2004-12-12,0,0
2004-03-13,5,35.7
2004-04-13,8,51.8
2004-05-13,9.6,585
2004-06-13,12.9,849
2004-07-13,16.5,599
2004-08-13,10.8,224
2004-09-13,0,99.3
2004-10-13,0,57.5
2004-11-13,0,90.4
2004-12-13,0,0
2004-03-14,5.3,29.6
2004-04-14,8,53
2004-05-14,9.7,366
2004-06-14,12.9,884
2004-07-14,16.4,589
2004-08-14,11,182
2004-09-14,0,109
2004-10-14,0,62.5
2004-11-14,0,86.9
2004-12-14,0,0
2004-03-15,5.2,30.3
2004-04-15,8.1,52.4
2004-05-15,9.8,302
2004-06-15,12.9,906
2004-07-15,16.3,533
2004-08-15,11.1,173
2004-09-15,0,111
2004-10-15,0,55.3
2004-11-15,0,82.9
2004-12-15,0,0
2004-03-16,5.2,30
2004-04-16,8.2,52.9
2004-05-16,9.8,326
2004-06-16,13.8,908
2004-07-16,16.2,639
2004-08-16,11,165
2004-09-16,0,92.4
2004-10-16,0,59.2
2004-11-16,0,82.6
2004-12-16,0,0
2004-03-17,5.4,28
2004-04-17,8.2,50.7
2004-05-17,9.9,452
2004-06-17,13.8,929
2004-07-17,16,704
2004-08-17,10.8,171
2004-09-17,0,84.4
2004-10-17,0,52.1
2004-11-17,0,87.7
2004-12-17,0,0
2004-03-18,5.6,26.6
2004-04-18,8.2,54
2004-05-18,9.9,476
2004-06-18,13.8,929
2004-07-18,15.9,344
2004-08-18,10.7,229
2004-09-18,0,80.1
2004-10-18,0,56.6
2004-11-18,0,84.4
2004-12-18,0,0
2004-03-19,5.6,28.9
2004-04-19,8.2,60
2004-05-19,9.9,602
2004-06-19,13.8,797
2004-07-19,15.9,587
2004-08-19,10,377
2004-09-19,0,73.9
2004-10-19,0,49.3
2004-11-19,0,78.7
2004-12-19,0,0
2004-03-20,6,30.5
2004-04-20,8.2,53.5
2004-05-20,9.9,750
2004-06-20,13.5,661
2004-07-20,15.9,679
2004-08-20,8.8,335
2004-09-20,0,70.9
2004-10-20,0,48.4
2004-11-20,0,84.8
2004-12-20,0,0
2004-03-21,6.2,33.9
